"PythonExecutable","PythonVersion","NumPyAvailable","NumPyVersion","PandasAvailable","PandasVersion","RDKitAvailable","RDKitVersion","Usable","ExitCode"
"D:\DRUG CONJUGATE\drugscreen360\backend\.venv\Scripts\python.exe","UNREADABLE","False","","False","","False","","False","2"
"C:\Python314\python.exe","3.14.5 (tags/v3.14.5:5607950, May 10 2026, 10:43:50) [MSC v.1944 64 bit (AMD64)]","True","2.4.6","True","3.0.3","True","2026.03.3","True","0"
